 gameweek | locked_rank |   locked_tier    | overall_points_at_lock 
        3 |     7333589 | 7000001-7500000  |                    113
        3 |     7376828 | 7000001-7500000  |                    113
        3 |     7376828 | 7000001-7500000  |                    113
        3 |     7376828 | 7000001-7500000  |                    113
        3 |     7376828 | 7000001-7500000  |                    113
        3 |     7376828 | 7000001-7500000  |                    113
        3 |     7416166 | 7000001-7500000  |                    113
        3 |     7422866 | 7000001-7500000  |                    112
        3 |     7422866 | 7000001-7500000  |                    112
        3 |     7451782 | 7000001-7500000  |                    112
        3 |     7507672 | 7500001-8000000  |                    112
        3 |     7509848 | 7500001-8000000  |                    111
        3 |     7509848 | 7500001-8000000  |                    111
        3 |     7509848 | 7500001-8000000  |                    111
        3 |     7538263 | 7500001-8000000  |                    111
        3 |     7551070 | 7500001-8000000  |                    111
        3 |     7551070 | 7500001-8000000  |                    111
        3 |     7551070 | 7500001-8000000  |                    111
        3 |     7571461 | 7500001-8000000  |                    111
        3 |     7589458 | 7500001-8000000  |                    111
        3 |     7594284 | 7500001-8000000  |                    110
        3 |     7634118 | 7500001-8000000  |                    110
        3 |     7652984 | 7500001-8000000  |                    110
        3 |     7665258 | 7500001-8000000  |                    110
        3 |     7739807 | 7500001-8000000  |                    109
        3 |     7781592 | 7500001-8000000  |                    108
        3 |     7809319 | 7500001-8000000  |                    108
        3 |     7831050 | 7500001-8000000  |                    107
        3 |     7831050 | 7500001-8000000  |                    107
        3 |     7831050 | 7500001-8000000  |                    107
        3 |     7831050 | 7500001-8000000  |                    107
        3 |     7831050 | 7500001-8000000  |                    107
        3 |     7857288 | 7500001-8000000  |                    107
        3 |     7867949 | 7500001-8000000  |                    107
        3 |     7904259 | 7500001-8000000  |                    107
        3 |     7904809 | 7500001-8000000  |                    106
        3 |     7904809 | 7500001-8000000  |                    106
        3 |     7940524 | 7500001-8000000  |                    106
        3 |     7965388 | 7500001-8000000  |                    106
        3 |     7975650 | 7500001-8000000  |                    105
        3 |     7975650 | 7500001-8000000  |                    105
        3 |     8000654 | 8000001-8500000  |                    105
        3 |     8024129 | 8000001-8500000  |                    105
        3 |     8044043 | 8000001-8500000  |                    104
        3 |     8078083 | 8000001-8500000  |                    104
        3 |     8090708 | 8000001-8500000  |                    104
